"","Participant","pw12_ang/pw34_fea_w01","pw12_fea/pw34_ang_w01","pw12_ang/pw34_fea_w02","pw12_fea/pw34_ang_w02","pw12_ang/pw34_fea_w03","pw12_fea/pw34_ang_w03","pw12_ang/pw34_fea_w04","pw12_fea/pw34_ang_w04"
"1","03adab22",0.464285714285714,0.535714285714286,0.214285714285714,0.178571428571429,0.178571428571429,0.481481481481481,0.428571428571429,0.321428571428571
"2","05da49af",0.357142857142857,0.392857142857143,0.142857142857143,0.0357142857142857,0.214285714285714,0.214285714285714,0.321428571428571,0.25
"3","10da0ee5",0.571428571428571,0.392857142857143,0.428571428571429,0.357142857142857,0.423076923076923,0.392857142857143,0.428571428571429,0.357142857142857
"4","1547126d",0.357142857142857,0.285714285714286,0.178571428571429,0.142857142857143,0.178571428571429,0.214285714285714,0.392857142857143,0.285714285714286
"5","19112116",0.428571428571429,0.428571428571429,0.178571428571429,0.25,0.285714285714286,0.357142857142857,0.392857142857143,0.464285714285714
"6","1d6d7f39",0.607142857142857,0.535714285714286,0.214285714285714,0.25,0.321428571428571,0.285714285714286,0.607142857142857,0.357142857142857
"7","25e32d6b",0.678571428571429,0.642857142857143,0.464285714285714,0.392857142857143,0.5,0.535714285714286,0.392857142857143,0.678571428571429
"8","339fa9f6",0.642857142857143,0.444444444444444,0.142857142857143,0.107142857142857,0.214285714285714,0.178571428571429,0.428571428571429,0.642857142857143
"9","34891e4e",0.851851851851852,0.857142857142857,0.392857142857143,0.392857142857143,0.571428571428571,0.464285714285714,0.642857142857143,0.642857142857143
"10","3c3a6a03",0.75,0.678571428571429,0.321428571428571,0.392857142857143,0.464285714285714,0.481481481481481,0.535714285714286,0.571428571428571
"11","4ade5f31",0.666666666666667,0.642857142857143,0.428571428571429,0.37037037037037,0.5,0.5,0.535714285714286,0.384615384615385
"12","4d35103d",0.296296296296296,0.392857142857143,0.107142857142857,0.178571428571429,0.148148148148148,0.25,0.357142857142857,0.464285714285714
"13","5232b1c3",0.5,0.607142857142857,0.285714285714286,0.214285714285714,0.392857142857143,0.357142857142857,0.535714285714286,0.571428571428571
"14","5ce81bcf",0.571428571428571,0.392857142857143,0.285714285714286,0.407407407407407,0.285714285714286,0.428571428571429,0.464285714285714,0.357142857142857
"15","5eb70e6b",0.571428571428571,0.535714285714286,0.25,0.285714285714286,0.5,0.392857142857143,0.518518518518518,0.571428571428571
"16","5ed25fdf",0.321428571428571,0.357142857142857,0.285714285714286,0.25,0.321428571428571,0.148148148148148,0.285714285714286,0.321428571428571
"17","607960f0",0.535714285714286,0.392857142857143,0.392857142857143,0.214285714285714,0.75,0.571428571428571,0.777777777777778,0.407407407407407
"18","624ae1f3",0.678571428571429,0.5,0.392857142857143,0.214285714285714,0.5,0.464285714285714,0.607142857142857,0.5
"19","6d44f0e3",0.392857142857143,0.5,0.285714285714286,0.25,0.464285714285714,0.392857142857143,0.428571428571429,0.5
"20","7b15ace2",0.714285714285714,0.428571428571429,0.428571428571429,0.464285714285714,0.535714285714286,0.444444444444444,0.642857142857143,0.5
"21","83f395b3",0.321428571428571,0.464285714285714,0.214285714285714,0.25,0.285714285714286,0.357142857142857,0.357142857142857,0.464285714285714
"22","8b1637a8",0.52,0.518518518518518,0.428571428571429,0.464285714285714,0.703703703703704,0.518518518518518,0.62962962962963,0.592592592592593
"23","9219adfa",0.464285714285714,0.535714285714286,0.285714285714286,0.178571428571429,0.392857142857143,0.25,0.535714285714286,0.571428571428571
"24","9966fcf3",0.571428571428571,0.607142857142857,0.357142857142857,0.25,0.285714285714286,0.392857142857143,0.464285714285714,0.5
"25","ac09d258",0.571428571428571,0.5,0.321428571428571,0.357142857142857,0.518518518518518,0.428571428571429,0.642857142857143,0.571428571428571
"26","b4c7f791",0.607142857142857,0.607142857142857,0.307692307692308,0.357142857142857,0.357142857142857,0.357142857142857,0.5,0.571428571428571
"27","cffaace5",0.642857142857143,0.5,0.5,0.392857142857143,0.357142857142857,0.464285714285714,0.571428571428571,0.464285714285714
"28","d20d40cc",0.535714285714286,0.392857142857143,0.178571428571429,0.214285714285714,0.428571428571429,0.321428571428571,0.464285714285714,0.428571428571429
"29","d38ffd0b",0.464285714285714,0.428571428571429,0.285714285714286,0.25,0.535714285714286,0.5,0.428571428571429,0.407407407407407
"30","d4f68536",0.481481481481481,0.464285714285714,0.285714285714286,0.25,0.357142857142857,0.178571428571429,0.428571428571429,0.428571428571429
"31","d590d5c3",0.642857142857143,0.607142857142857,0.285714285714286,0.321428571428571,0.535714285714286,0.481481481481481,0.607142857142857,0.607142857142857
"32","d5f6a828",0.571428571428571,0.428571428571429,0.357142857142857,0.25,0.357142857142857,0.357142857142857,0.392857142857143,0.321428571428571
"33","dcbab922",0.571428571428571,0.555555555555556,0.37037037037037,0.321428571428571,0.428571428571429,0.407407407407407,0.5,0.392857142857143
"34","dcc56fb0",0.464285714285714,0.535714285714286,0.142857142857143,0.321428571428571,0.25,0.321428571428571,0.464285714285714,0.5
"35","dce7618c",0.535714285714286,0.571428571428571,0.25,0.321428571428571,0.321428571428571,0.357142857142857,0.5,0.535714285714286
"36","de2e65dc",0.607142857142857,0.642857142857143,0.592592592592593,0.357142857142857,0.607142857142857,0.607142857142857,0.535714285714286,0.535714285714286
"37","df4955c7",0.785714285714286,0.75,0.571428571428571,0.555555555555556,0.571428571428571,0.607142857142857,0.571428571428571,0.642857142857143
"38","df6b31a9",0.607142857142857,0.535714285714286,0.285714285714286,0.428571428571429,0.464285714285714,0.571428571428571,0.535714285714286,0.642857142857143
"39","e0670839",0.535714285714286,0.464285714285714,0.214285714285714,0.25,0.392857142857143,0.5,0.392857142857143,0.428571428571429
"40","e479ba78",0.535714285714286,0.535714285714286,0.321428571428571,0.178571428571429,0.428571428571429,0.357142857142857,0.5,0.428571428571429
"41","eda7b7e6",0.642857142857143,0.535714285714286,0.321428571428571,0.214285714285714,0.321428571428571,0.285714285714286,0.392857142857143,0.392857142857143
"42","f34a88cf",0.392857142857143,0.392857142857143,0.214285714285714,0.25,0.428571428571429,0.285714285714286,0.428571428571429,0.321428571428571
